Id,SalePrice
1461,123366.16466881863
1462,158410.73838593738
1463,180665.15297671434
1464,191960.09577234407
1465,188852.81001136318
1466,176214.70869584996
1467,177030.71763111904
1468,171538.64361116456
1469,177580.04011781057
1470,123261.46488251965
1471,203853.3741722294
1472,93204.79213242441
1473,96003.5140234867
1474,151291.43678198603
1475,126184.71826640407
1476,372262.52419094864
1477,245621.20364093798
1478,283244.69202484965
1479,279113.48515961855
1480,484665.854698425
1481,353671.6499463692
1482,202691.12282316017
1483,176180.67947608186
1484,167021.61342804984
1485,175701.2744201374
1486,194481.25295482288
1487,337989.40451897983
1488,228779.74245433777
1489,200805.32821341034
1490,213310.2095446954
1491,188296.96222384687
1492,94334.3591359308
1493,180348.33937520627
1494,287373.82519502175
1495,291908.3816841594
1496,239477.590505014
1497,185118.4808504955
1498,158730.8011705998
1499,158144.8742413763
1500,157528.2678591852
1501,175208.25906430153
1502,151893.1483343525
1503,294545.90606990264
1504,231734.25899204207
1505,222236.65758199143
1506,186078.50163866472
1507,235731.592927752
1508,202476.5386192833
1509,162432.22159628724
1510,148346.82092952525
1511,141619.20488673594
1512,169714.30695193337
1513,139444.41610619958
1514,168404.88533724795
1515,180835.9310141339
1516,150356.73300408176
1517,160061.81604549073
1518,125783.80408233075
1519,226643.54272221783
1520,135545.9066507928
1521,135412.69378148808
1522,164257.5404276829
1523,112415.69806029147
1524,125032.04481413045
1525,122482.49847944184
1526,118111.99924988221
1527,98245.63383113166
1528,132355.6360005116
1529,148040.9010891737
1530,170608.40431619104
1531,114078.17030649626
1532,106222.18713753409
1533,145706.88860894405
1534,119489.4571110567
1535,156989.37609738493
1536,111999.92122387863
1537,64227.86944021782
1538,154820.76409557092
1539,197960.30898959335
1540,101721.83611010583
1541,144809.00707952492
1542,142826.3470154694
1543,226471.11044338538
1544,76840.04506084835
1545,103332.68560054252
1546,125960.66020434228
1547,136240.5355678513
1548,135471.48376867519
1549,111696.61503469686
1550,137747.28292510615
1551,117345.86286588568
1552,125634.51873016596
1553,147321.7962358316
1554,110370.41594613639
1555,172932.63671194442
1556,88890.45112378143
1557,111723.93168147243
1558,85935.11845558109
1559,91991.29378563614
1560,138642.88943348188
1561,148957.35853084663
1562,129328.1728382172
1563,121333.41464454395
1564,160442.41444425474
1565,148651.84427193305
1566,230986.564571857
1567,67453.81806876951
1568,235400.02189854963
1569,146138.69202651735
1570,134406.707268061
1571,116763.65359408817
1572,150670.93267575387
1573,248468.04333394062
1574,114310.99153979069
1575,208064.94951048435
1576,222226.089337482
1577,193324.9513365403
1578,146075.3383551465
1579,146930.50661745487
1580,192111.4718468846
1581,147359.20342604571
1582,131219.57417287494
1583,324897.690726114
1584,232399.09242476607
1585,141459.7822781286
1586,67281.75401834192
1587,97903.39747608971
1588,148567.1177166627
1589,95908.22310144035
1590,133778.44231066378
1591,100217.73127386057
1592,125476.49074334605
1593,124502.25303546252
1594,130218.38787676967
1595,115883.90666044201
1596,243572.7745420306
1597,178687.55522289805
1598,188038.99957225847
1599,167605.43371287527
1600,171077.00530974084
1601,70201.99923143996
1602,110938.4867068733
1603,89563.70862642881
1604,282908.47693631356
1605,243468.48573818879
1606,170229.13467569996
1607,164811.56669959787
1608,216670.79133190386
1609,190664.64221001673
